PFT,Site,Latitude,Longitude,Time,Citation,citekey
,CN-Cng,44.5934,123.5092,2007-2010,"(Dong et al., 2011)",
,CN-Dan,30.4978,91.0664,2004-2005,"(Yu et al., 2006)",
,CN-Du2,42.0467,116.2836,2006-2008,"(Chen et al., 2009)",
,CN-HaM,37.37,101.18,2002-2004,"(Kato et al., 2006)",
,CN-Sw2,41.7902,111.8971,2010-2012,"(Shao et al., 2013)",
,CZ-BK2,49.4944,18.5429,2004-2011,"(Pavelka et al., 2007)",
,DE-Gri,50.9495,13.5125,2004-2014,"(Gilmanov et al., 2007)",
,DK-ZaH,74.4732,-20.5503,2000-2009,"(Lund et al., 2012)",
,IT-Tor,45.8444,7.5781,2008-2013,"(Galvagno et al., 2013)",
,NL-Hor,52.2404,5.0713,2004-2011,"(van der Molen et al., 2004)",
,RU-Ha1,54.7252,90.0022,2002-2004,"(Marchesini et al., 2007)",
,US-AR1,36.4267,-99.42,2009-2012,"(Billesbach & Bradford, 2016)",
,US-AR2,36.6358,-99.5975,2009-2012,"(Billesbach & Bradford, 2016)",
,US-Var,38.4133,-120.951,2000-2014,"(Baldocchi, 2016d)",
,US-Wkg,31.7365,-109.942,2004-2014,"(Scott, 2016c)Ê",
Permenent,AU-Fog,-12.5452,131.3072,2006-2008,"(Beringer, 2013e)",
wetlands,CN-Ha2,37.6086,101.3269,2003-2005,"(Fu et al., 2006)",
(WET),DE-Akm,53.8662,13.6834,2009-2014,http://www.fluxdata.org:8080/sitepages/siteInfo.aspx?DE-Akm,
,DE-Spw,51.8923,14.0337,2010-2014,http://www.fluxdata.org:8080/sitepages/siteInfo.aspx?DE-spw,
,DK-NuF,64.1308,-51.3861,2008-2014,"(Westergaard-Nielsen et al., 2013)",
,NO-Adv,78.186,15.923,2011-2014,"(Pirk et al., 2016)",
,RU-Che,68.613,161.3414,2002-2005,"(Merbold et al., 2009)",
,US-Los,46.0827,-89.9792,2000-2014,"(Desai, 2016a)",
,US-Myb,38.0498,-121.765,2011-2014,"(Baldocchi, 2016a)Ê",
Croplands,BE-Lon,50.5516,4.7461,2004-2014,"(Moureaux et al., 2006)",
(CRO),DE-Kli,50.8929,13.5225,2004-2014,"(Ceschia et al., 2010)",
,DE-RuS,50.8659,6.4472,2011-2014,"(Mauder et al., 2013)",
,FI-Jok,60.8986,23.5135,2000-2003,"(Gilmanov et al., 2007)",
,FR-Gri,48.8442,1.9519,2004-2013,"(Loubet et al., 2011)",
,IT-CA2,42.3772,12.026,2011-2013,"(Sabbatini et al., 2016)",
,US-ARM,36.6058,-97.4888,2003-2012,"(Torn, 2016)",
,US-Ne1,41.1651,-96.4766,2001-2013,"(Suyker, 2016a)",
,US-Ne2,41.1649,-96.4701,2001-2013,"(Suyker, 2016b)",
,US-Ne3,41.1797,-96.4397,2001-2013,"(Suyker, 2016c)",
,US-Tw3,38.1159,-121.647,2013-2014,"(Baldocchi, 2016c)Ê",
